ID	gene	chr	cds_start	cds_end	type
transcript:YAL027W_mRNA	SAW1	I	94686	95472	mRNA
transcript:YAL026C-A_mRNA		I	95385	95823	mRNA
transcript:YAL026C_mRNA	DRS2	I	95629	99697	mRNA
transcript:YAL025C_mRNA	MAK16	I	100224	101145	mRNA
transcript:YAL024C_mRNA	LTE1	I	101564	105872	mRNA
transcript:YAL023C_mRNA	PMT2	I	106271	108551	mRNA
transcript:YAL022C_mRNA	FUN26	I	108876	110430	mRNA
transcript:YAL021C_mRNA	CCR4	I	110845	113359	mRNA
transcript:YAL020C_mRNA	ATS1	I	113613	114615	mRNA
transcript:YAL019W-A_mRNA		I	114249	114819	mRNA
transcript:YAL019W_mRNA	FUN30	I	114918	118314	mRNA
transcript:YAL018C_mRNA	LDS1	I	118563	119541	mRNA
transcript:YAL017W_mRNA	PSK1	I	120224	124295	mRNA
transcript:YAL016C-B_mRNA		I	124306	124492	mRNA
transcript:YAL016C-A_mRNA		I	124754	125069	mRNA
transcript:YAL016W_mRNA	TPD3	I	124878	126786	mRNA
transcript:YAL015C_mRNA	NTG1	I	126902	128102	mRNA
transcript:YAL014C_mRNA	SYN8	I	128251	129019	mRNA
transcript:YAL013W_mRNA	DEP1	I	129269	130487	mRNA
transcript:YAL012W_mRNA	CYS3	I	130798	131983	mRNA
transcript:YAL011W_mRNA	SWC3	I	132198	134076	mRNA
transcript:YAL010C_mRNA	MDM10	I	134183	135665	mRNA
transcript:YAL009W_mRNA	SPO7	I	135853	136633	mRNA
transcript:YAL008W_mRNA	FUN14	I	136913	137510	mRNA
transcript:YAL007C_mRNA	ERP2	I	137697	138345	mRNA
transcript:YAL005C_mRNA	SSA1	I	139502	141431	mRNA
transcript:YAL004W_mRNA		I	140759	141407	mRNA
transcript:YAL003W_mRNA	EFB1	I	142173	143160	mRNA
transcript:YAL002W_mRNA	VPS8	I	143706	147531	mRNA
transcript:YAL001C_mRNA	TFC3	I	147593	151166	mRNA
transcript:YAR002W_mRNA	NUP60	I	152256	153876	mRNA
transcript:YAR002C-A_mRNA	ERP1	I	154064	154724	mRNA
transcript:YAR003W_mRNA	SWD1	I	155004	156285	mRNA
transcript:YAR007C_mRNA	RFA1	I	156753	158619	mRNA
transcript:YAR008W_mRNA	SEN34	I	158965	159793	mRNA
transcript:YAR014C_mRNA	BUD14	I	166741	168871	mRNA
transcript:YAR015W_mRNA	ADE1	I	169374	170295	mRNA
transcript:YAR018C_mRNA	KIN3	I	170395	171703	mRNA
transcript:YAR019C_mRNA	CDC15	I	172210	175135	mRNA
transcript:YAR019W-A_mRNA		I	174997	175330	mRNA
transcript:YAR020C_mRNA	PAU7	I	176855	177023	mRNA
transcript:YAR023C_mRNA		I	179280	179820	mRNA
transcript:YAR027W_mRNA	UIP3	I	183769	184477	mRNA
transcript:YAR028W_mRNA		I	184891	185596	mRNA
transcript:YAR029W_mRNA		I	186320	186545	mRNA
transcript:YAR030C_mRNA		I	186511	186853	mRNA
transcript:YAR031W_mRNA	PRM9	I	186835	187732	mRNA
transcript:YAR033W_mRNA	MST28	I	188106	188811	mRNA
transcript:YAR035W_mRNA	YAT1	I	190192	192256	mRNA
transcript:YAR035C-A_mRNA		I	192336	192417	mRNA
transcript:YAR042W_mRNA	SWH1	I	192618	196185	mRNA
transcript:YAR047C_mRNA		I	201466	201787	mRNA
transcript:YAR050W_mRNA	FLO1	I	203402	208016	mRNA
transcript:YAR053W_mRNA		I	208366	208663	mRNA
transcript:YAR060C_mRNA		I	217156	217492	mRNA
transcript:YAR064W_mRNA		I	220197	220497	mRNA
transcript:YAR066W_mRNA		I	221048	221660	mRNA
transcript:YAR068W_mRNA		I	222405	222891	mRNA
transcript:YAR069C_mRNA		I	224010	224304	mRNA
transcript:YAR070C_mRNA		I	224562	224862	mRNA
transcript:YAR071W_mRNA	PHO11	I	225459	226863	mRNA
transcript:YAR073W_mRNA	IMD1	I	227741	228953	mRNA
transcript:YAR075W_mRNA		I	228843	229317	mRNA
transcript:YBL113C_mRNA		II	279	2658	mRNA
transcript:YBL113W-A_mRNA		II	645	1128	mRNA
transcript:YBL112C_mRNA		II	2581	2899	mRNA
transcript:YBL111C_mRNA		II	2906	5009	mRNA
transcript:YBL109W_mRNA		II	5789	6125	mRNA
transcript:YBL108C-A_mRNA	PAU9	II	7604	7733	mRNA
transcript:YBL108W_mRNA		II	8176	8482	mRNA
transcript:YBL107W-A_mRNA		II	9267	9372	mRNA
transcript:YBL107C_mRNA	MIX23	II	9960	10551	mRNA
transcript:YBL106C_mRNA	SRO77	II	10846	13879	mRNA
transcript:YBL105C_mRNA	PKC1	II	14240	17696	mRNA
transcript:YBL104C_mRNA	SEA4	II	18176	21293	mRNA
transcript:YBL103C_mRNA	RTG3	II	22075	23536	mRNA
transcript:YBL102W_mRNA	SFT2	II	24097	24745	mRNA
transcript:YBL101C_mRNA	ECM21	II	24945	28299	mRNA
transcript:YBL100W-C_mRNA		II	28426	28546	mRNA
transcript:YBL100C_mRNA		II	36988	37303	mRNA
transcript:YBL099W_mRNA	ATP1	II	37052	38690	mRNA
transcript:YBL098W_mRNA	BNA4	II	39144	40527	mRNA
transcript:YBL097W_mRNA	BRN1	II	40830	43095	mRNA
transcript:YBL096C_mRNA		II	43173	43482	mRNA
transcript:YBL095W_mRNA	MRX3	II	43276	44089	mRNA
transcript:YBL094C_mRNA		II	43764	44097	mRNA
transcript:YBL093C_mRNA	ROX3	II	44255	44918	mRNA
transcript:YBL092W_mRNA	RPL32	II	45977	46370	mRNA
transcript:YBL091C-A_mRNA	SCS22	II	46564	47180	mRNA
transcript:YBL091C_mRNA	MAP2	II	47362	48628	mRNA
transcript:YBL090W_mRNA	MRP21	II	48824	49358	mRNA
transcript:YBL089W_mRNA	AVT5	II	49573	50953	mRNA
transcript:YBL088C_mRNA	TEL1	II	51018	59382	mRNA
transcript:YBL087C_mRNA	RPL23A	II	59821	60739	mRNA
transcript:YBL086C_mRNA		II	61201	62602	mRNA
transcript:YBL085W_mRNA	BOI1	II	63875	66818	mRNA
transcript:YBL084C_mRNA	CDC27	II	67168	69445	mRNA
transcript:YBL083C_mRNA		II	69712	70138	mRNA
transcript:YBL082C_mRNA	ALG3	II	69750	71127	mRNA
transcript:YBL081W_mRNA		II	71865	72972	mRNA
transcript:YBL080C_mRNA	PET112	II	73069	74695	mRNA
transcript:YBL079W_mRNA	NUP170	II	75258	79767	mRNA
transcript:YBL078C_mRNA	ATG8	II	80377	80731	mRNA
transcript:YBL077W_mRNA		II	80896	81328	mRNA
transcript:YBL076C_mRNA	ILS1	II	81042	84261	mRNA
transcript:YBL075C_mRNA	SSA3	II	84498	86448	mRNA
transcript:YBL074C_mRNA	AAR2	II	86721	87789	mRNA
transcript:YBL073W_mRNA		II	87645	87957	mRNA
transcript:YBL072C_mRNA	RPS8A	II	88522	89125	mRNA
transcript:YBL071C-B_mRNA		II	89457	89556	mRNA
transcript:YBL071W-A_mRNA	KTI11	II	89977	90226	mRNA
transcript:YBL071C_mRNA		II	90222	90531	mRNA
transcript:YBL070C_mRNA		II	90604	90925	mRNA
transcript:YBL069W_mRNA	AST1	II	90740	92030	mRNA
transcript:YBL068W-A_mRNA		II	91793	92030	mRNA
transcript:YBL068W_mRNA	PRS4	II	92413	93394	mRNA
transcript:YBL067C_mRNA	UBP13	II	93638	95882	mRNA
transcript:YBL066C_mRNA	SEF1	II	96668	100115	mRNA
transcript:YBL065W_mRNA		II	99962	100307	mRNA
transcript:YBL064C_mRNA	PRX1	II	100370	101156	mRNA
transcript:YBL063W_mRNA	KIP1	II	101885	105221	mRNA
transcript:YBL062W_mRNA		II	105307	105688	mRNA
transcript:YBL061C_mRNA	SKT5	II	105315	107406	mRNA
transcript:YBL060W_mRNA	YEL1	II	107931	109995	mRNA
transcript:YBL059C-A_mRNA	CMC2	II	110124	110539	mRNA
transcript:YBL059W_mRNA		II	110593	111244	mRNA
transcript:YBL058W_mRNA	SHP1	II	111436	112708	mRNA
transcript:YBL057C_mRNA	PTH2	II	112800	113427	mRNA
transcript:YBL056W_mRNA	PTC3	II	113761	115168	mRNA
transcript:YBL055C_mRNA		II	115572	116829	mRNA
transcript:YBL054W_mRNA	TOD6	II	117588	119166	mRNA
transcript:YBL053W_mRNA		II	119334	119709	mRNA
transcript:YBL052C_mRNA	SAS3	II	119378	121874	mRNA
transcript:YBL051C_mRNA	PIN4	II	122752	124759	mRNA
transcript:YBL050W_mRNA	SEC17	II	125124	126119	mRNA
transcript:YBL049W_mRNA	MOH1	II	126827	127244	mRNA
transcript:YBL048W_mRNA	RRT1	II	127298	127610	mRNA
transcript:YBL047C_mRNA	EDE1	II	127894	132040	mRNA
transcript:YBL046W_mRNA	PSY4	II	132423	133749	mRNA
transcript:YBL045C_mRNA	COR1	II	134142	135516	mRNA
transcript:YBL044W_mRNA		II	135997	136366	mRNA
transcript:YBL043W_mRNA	ECM13	II	136687	137461	mRNA
transcript:YBL042C_mRNA	FUI1	II	138340	140260	mRNA
transcript:YBL041W_mRNA	PRE7	II	141246	141972	mRNA
transcript:YBL040C_mRNA	ERD2	II	142111	142868	mRNA
transcript:YBL039W-B_mRNA		II	143392	143572	mRNA
transcript:YBL039C_mRNA	URA7	II	143988	145728	mRNA
transcript:YBL039C-A_mRNA		II	144947	145031	mRNA
transcript:YBL038W_mRNA	MRPL16	II	146186	146885	mRNA
transcript:YBL037W_mRNA	APL3	II	147208	150286	mRNA
transcript:YBL036C_mRNA		II	150446	151220	mRNA
transcript:YBL035C_mRNA	POL12	II	151492	153610	mRNA
transcript:YBL034C_mRNA	STU1	II	153847	158389	mRNA
transcript:YBL033C_mRNA	RIB1	II	158655	159693	mRNA
transcript:YBL032W_mRNA	HEK2	II	160183	161329	mRNA
transcript:YBL031W_mRNA	SHE1	II	161698	162715	mRNA
transcript:YBL030C_mRNA	PET9	II	163040	163997	mRNA
transcript:YBL029C-A_mRNA		II	164487	164772	mRNA
transcript:YBL029W_mRNA		II	166133	167264	mRNA
transcript:YBL028C_mRNA		II	167517	167838	mRNA
transcript:YBL027W_mRNA	RPL19B	II	168422	169376	mRNA
transcript:YBL026W_mRNA	LSM2	II	170622	171038	mRNA
transcript:YBL025W_mRNA	RRN10	II	171480	171918	mRNA
transcript:YBL024W_mRNA	NCL1	II	172533	174588	mRNA
transcript:YBL023C_mRNA	MCM2	II	174919	177526	mRNA
transcript:YBL022C_mRNA	PIM1	II	177873	181275	mRNA
transcript:YBL021C_mRNA	HAP3	II	181659	182094	mRNA
transcript:YBL020W_mRNA	RFT1	II	182400	184125	mRNA
transcript:YBL019W_mRNA	APN2	II	184352	185915	mRNA
transcript:YBL018C_mRNA	POP8	II	185997	186474	mRNA
transcript:YBL017C_mRNA	PEP1	II	186843	191583	mRNA
transcript:YBL016W_mRNA	FUS3	II	192450	193512	mRNA
transcript:YBL015W_mRNA	ACH1	II	194121	195702	mRNA
transcript:YBL014C_mRNA	RRN6	II	199063	201748	mRNA
transcript:YBL013W_mRNA	FMT1	II	202055	203261	mRNA
transcript:YBL012C_mRNA		II	203405	203807	mRNA
transcript:YBL011W_mRNA	SCT1	II	203537	205817	mRNA
transcript:YBL010C_mRNA		II	206106	206949	mRNA
transcript:YBL009W_mRNA	ALK2	II	207193	209224	mRNA
transcript:YBL008W-A_mRNA		II	209408	209648	mRNA
transcript:YBL008W_mRNA	HIR1	II	209652	212175	mRNA
transcript:YBL007C_mRNA	SLA1	II	212631	216366	mRNA
transcript:YBL006C_mRNA	LDB7	II	216586	217129	mRNA
transcript:YBL006W-A_mRNA		II	216710	216860	mRNA
transcript:YBL005W_mRNA	PDR3	II	217469	220400	mRNA
transcript:YBL004W_mRNA	UTP20	II	227635	235117	mRNA
transcript:YBL003C_mRNA	HTA2	II	235393	235792	mRNA
transcript:YBL002W_mRNA	HTB2	II	236491	236887	mRNA
transcript:YBL001C_mRNA	ECM15	II	237152	237467	mRNA
transcript:YBR001C_mRNA	NTH2	II	238940	241283	mRNA
transcript:YBR002C_mRNA	RER2	II	241707	242568	mRNA
transcript:YBR003W_mRNA	COQ1	II	242808	244230	mRNA
transcript:YBR004C_mRNA	GPI18	II	244365	245667	mRNA
transcript:YBR005W_mRNA	RCR1	II	245905	246547	mRNA
transcript:YBR006W_mRNA	UGA2	II	247009	248503	mRNA
transcript:YBR007C_mRNA	DSF2	II	248805	251016	mRNA
transcript:YBR008C_mRNA	FLR1	II	252562	254209	mRNA
transcript:YBR009C_mRNA	HHF1	II	255372	255684	mRNA
transcript:YBR010W_mRNA	HHT1	II	256330	256741	mRNA
transcript:YBR011C_mRNA	IPP1	II	257111	257975	mRNA
transcript:YBR012C_mRNA		II	259146	259566	mRNA
transcript:YBR013C_mRNA		II	265491	265881	mRNA
transcript:YBR014C_mRNA	GRX7	II	266724	267336	mRNA
transcript:YBR015C_mRNA	MNN2	II	267709	269503	mRNA
transcript:YBR016W_mRNA		II	270246	270633	mRNA
transcript:YBR017C_mRNA	KAP104	II	270946	273703	mRNA
transcript:YBR018C_mRNA	GAL7	II	274426	275527	mRNA
transcript:YBR019C_mRNA	GAL10	II	276252	278352	mRNA
transcript:YBR020W_mRNA	GAL1	II	279020	280607	mRNA
transcript:YBR021W_mRNA	FUR4	II	281442	283344	mRNA
transcript:YBR022W_mRNA	POA1	II	283737	284271	mRNA
transcript:YBR023C_mRNA	CHS3	II	284427	287925	mRNA
transcript:YBR024W_mRNA	SCO2	II	289444	290350	mRNA
transcript:YBR025C_mRNA	OLA1	II	290680	291865	mRNA
transcript:YBR026C_mRNA	ETR1	II	292876	294019	mRNA
transcript:YBR027C_mRNA		II	294023	294356	mRNA
transcript:YBR028C_mRNA	YPK3	II	294424	296002	mRNA
transcript:YBR029C_mRNA	CDS1	II	296368	297742	mRNA
transcript:YBR030W_mRNA	RKM3	II	298291	299950	mRNA
transcript:YBR031W_mRNA	RPL4A	II	300165	301254	mRNA
transcript:YBR032W_mRNA		II	301518	301821	mRNA
transcript:YBR033W_mRNA	EDS1	II	301943	304703	mRNA
transcript:YBR034C_mRNA	HMT1	II	304929	305976	mRNA
transcript:YBR035C_mRNA	PDX3	II	306268	306955	mRNA
transcript:YBR036C_mRNA	CSG2	II	309080	310313	mRNA
transcript:YBR037C_mRNA	SCO1	II	310564	311452	mRNA
transcript:YBR038W_mRNA	CHS2	II	311897	314789	mRNA
transcript:YBR039W_mRNA	ATP3	II	315574	316510	mRNA
transcript:YBR040W_mRNA	FIG1	II	316967	317864	mRNA
transcript:YBR041W_mRNA	FAT1	II	318265	320275	mRNA
transcript:YBR042C_mRNA	CST26	II	320415	321609	mRNA
transcript:YBR043C_mRNA	QDR3	II	321875	323945	mRNA
transcript:YBR044C_mRNA	TCM62	II	324340	326059	mRNA
transcript:YBR045C_mRNA	GIP1	II	328172	330092	mRNA
transcript:YBR046C_mRNA	ZTA1	II	330506	331511	mRNA
transcript:YBR047W_mRNA	FMP23	II	331832	332360	mRNA
transcript:YBR048W_mRNA	RPS11B	II	332830	333812	mRNA
transcript:YBR049C_mRNA	REB1	II	334385	336818	mRNA
transcript:YBR050C_mRNA	REG2	II	337182	338199	mRNA
transcript:YBR051W_mRNA		II	337987	338338	mRNA
transcript:YBR052C_mRNA	RFS1	II	338719	339352	mRNA
transcript:YBR053C_mRNA		II	339674	340751	mRNA
transcript:YBR054W_mRNA	YRO2	II	343100	344135	mRNA
transcript:YBR055C_mRNA	PRP6	II	344601	347301	mRNA
transcript:YBR056W_mRNA		II	347878	349384	mRNA
transcript:YBR056W-A_mRNA		II	351254	351455	mRNA
transcript:YBR056C-B_mRNA		II	351292	351451	mRNA
transcript:YBR057C_mRNA	MUM2	II	352192	353293	mRNA
transcript:YBR058C_mRNA	UBP14	II	353671	356017	mRNA
transcript:YBR058C-A_mRNA	TSC3	II	356323	356566	mRNA
transcript:YBR059C_mRNA	AKL1	II	356860	360187	mRNA
transcript:YBR060C_mRNA	ORC2	II	360651	362514	mRNA
transcript:YBR061C_mRNA	TRM7	II	364786	365719	mRNA
transcript:YBR062C_mRNA		II	365975	366600	mRNA
transcript:YBR063C_mRNA		II	366969	368184	mRNA
transcript:YBR064W_mRNA		II	367762	368191	mRNA
transcript:YBR065C_mRNA	ECM2	II	368583	369678	mRNA
transcript:YBR066C_mRNA	NRG2	II	370036	370699	mRNA
transcript:YBR067C_mRNA	TIP1	II	372102	372735	mRNA
transcript:YBR068C_mRNA	BAP2	II	373860	375690	mRNA
transcript:YBR069C_mRNA	TAT1	II	376573	378433	mRNA
transcript:YBR070C_mRNA	ALG14	II	379220	379934	mRNA
transcript:YBR071W_mRNA		II	380410	381046	mRNA
transcript:YBR072W_mRNA	HSP26	II	382029	382674	mRNA
transcript:YBR072C-A_mRNA		II	382859	383021	mRNA
transcript:YBR073W_mRNA	RDH54	II	383111	385988	mRNA
transcript:YBR074W_mRNA	PFF1	II	386285	389216	mRNA
transcript:YBR076W_mRNA	ECM8	II	390226	391291	mRNA
transcript:YBR076C-A_mRNA		II	391350	391617	mRNA
transcript:YBR077C_mRNA	SLM4	II	391804	392293	mRNA
transcript:YBR078W_mRNA	ECM33	II	393122	394742	mRNA
transcript:YBR079C_mRNA	RPG1	II	395382	398277	mRNA
transcript:YBR080C_mRNA	SEC18	II	398613	400890	mRNA
transcript:YBR081C_mRNA	SPT7	II	401252	405251	mRNA
transcript:YBR082C_mRNA	UBC4	II	406627	407169	mRNA
transcript:YBR083W_mRNA	TEC1	II	409168	410629	mRNA
transcript:YBR084W_mRNA	MIS1	II	411053	413981	mRNA
transcript:YBR084C-A_mRNA	RPL19A	II	414185	415261	mRNA
transcript:YBR085W_mRNA	AAC3	II	415982	416906	mRNA
transcript:YBR085C-A_mRNA		II	418906	419164	mRNA
transcript:YBR086C_mRNA	IST2	II	420200	423041	mRNA
transcript:YBR087W_mRNA	RFC5	II	423764	424829	mRNA
transcript:YBR088C_mRNA	POL30	II	424989	425766	mRNA
transcript:YBR089W_mRNA		II	425182	425782	mRNA
transcript:YBR089C-A_mRNA	NHP6B	II	426189	426489	mRNA
transcript:YBR090C_mRNA		II	426332	427058	mRNA
transcript:YBR091C_mRNA	TIM12	II	427154	427484	mRNA
transcript:YBR092C_mRNA	PHO3	II	427697	429101	mRNA
transcript:YBR093C_mRNA	PHO5	II	429547	430951	mRNA
transcript:YBR094W_mRNA	PBY1	II	432035	434297	mRNA
transcript:YBR095C_mRNA	RXT2	II	434405	435698	mRNA
transcript:YBR096W_mRNA		II	436020	436713	mRNA
transcript:YBR097W_mRNA	VPS15	II	436950	441315	mRNA
transcript:YBR098W_mRNA	MMS4	II	441514	443590	mRNA
transcript:YBR099C_mRNA		II	442923	443307	mRNA
transcript:YBR101C_mRNA	FES1	II	443820	444693	mRNA
transcript:YBR102C_mRNA	EXO84	II	445061	447323	mRNA
transcript:YBR103W_mRNA	SIF2	II	447708	449316	mRNA
transcript:YBR103C-A_mRNA		II	449319	449463	mRNA
transcript:YBR104W_mRNA	YMC2	II	449666	450656	mRNA
transcript:YBR105C_mRNA	VID24	II	450880	451969	mRNA
transcript:YBR106W_mRNA	PHO88	II	452657	453224	mRNA
transcript:YBR107C_mRNA	IML3	II	453792	454530	mRNA
transcript:YBR108W_mRNA	AIM3	II	454821	457665	mRNA
transcript:YBR109C_mRNA	CMD1	II	457918	458362	mRNA
transcript:YBR109W-A_mRNA		II	458607	458832	mRNA
transcript:YBR110W_mRNA	ALG1	II	458871	460221	mRNA
transcript:YBR111C_mRNA	YSA1	II	461177	461873	mRNA
transcript:YBR111W-A_mRNA	SUS1	II	462138	462579	mRNA
transcript:YBR112C_mRNA	CYC8	II	462869	465770	mRNA
transcript:YBR113W_mRNA		II	465565	466048	mRNA
transcript:YBR114W_mRNA	RAD16	II	467247	469620	mRNA
transcript:YBR115C_mRNA	LYS2	II	469747	473926	mRNA
transcript:YBR116C_mRNA		II	474198	474726	mRNA
transcript:YBR117C_mRNA	TKL2	II	474391	476437	mRNA
transcript:YBR118W_mRNA	TEF2	II	477670	479047	mRNA
transcript:YBR119W_mRNA	MUD1	II	479337	480323	mRNA
transcript:YBR120C_mRNA	CBP6	II	480434	480923	mRNA
transcript:YBR121C_mRNA	GRS1	II	481363	483367	mRNA
transcript:YBR121C-A_mRNA		II	482325	482484	mRNA
transcript:YBR122C_mRNA	MRPL36	II	483969	484503	mRNA
transcript:YBR123C_mRNA	TFC1	II	484741	486691	mRNA
transcript:YBR124W_mRNA		II	486506	486866	mRNA
transcript:YBR125C_mRNA	PTC4	II	487198	488380	mRNA
transcript:YBR126C_mRNA	TPS1	II	488904	490392	mRNA
transcript:YBR126W-A_mRNA	MEO1	II	490849	491056	mRNA
transcript:YBR126W-B_mRNA		II	490926	491070	mRNA
transcript:YBR127C_mRNA	VMA2	II	491268	492822	mRNA
transcript:YBR128C_mRNA	ATG14	II	493080	494115	mRNA
transcript:YBR129C_mRNA	OPY1	II	494352	495339	mRNA
transcript:YBR130C_mRNA	SHE3	II	495591	496869	mRNA
transcript:YBR131W_mRNA	CCZ1	II	497162	499277	mRNA
transcript:YBR131C-A_mRNA		II	497649	497739	mRNA
transcript:YBR132C_mRNA	AGP2	II	499651	501442	mRNA
transcript:YBR133C_mRNA	HSL7	II	501803	504287	mRNA
transcript:YBR134W_mRNA		II	504242	504644	mRNA
transcript:YBR135W_mRNA	CKS1	II	504853	505306	mRNA
transcript:YBR136W_mRNA	MEC1	II	505667	512774	mRNA
transcript:YBR137W_mRNA		II	513043	513583	mRNA
transcript:YBR138C_mRNA		II	513761	515336	mRNA
transcript:YBR139W_mRNA		II	515663	517190	mRNA
transcript:YBR140C_mRNA	IRA1	II	517349	526628	mRNA
transcript:YBR141C_mRNA	BMT2	II	527024	528038	mRNA
transcript:YBR141W-A_mRNA		II	527166	527262	mRNA
transcript:YBR142W_mRNA	MAK5	II	528316	530638	mRNA
transcript:YBR143C_mRNA	SUP45	II	530868	532182	mRNA
transcript:YBR144C_mRNA		II	533234	533549	mRNA
transcript:YBR145W_mRNA	ADH5	II	533761	534817	mRNA
transcript:YBR146W_mRNA	MRPS9	II	535259	536096	mRNA
transcript:YBR147W_mRNA	RTC2	II	536574	537465	mRNA
transcript:YBR148W_mRNA	YSW1	II	537875	539705	mRNA
transcript:YBR149W_mRNA	ARA1	II	539986	541021	mRNA
transcript:YBR150C_mRNA	TBS1	II	541208	544493	mRNA
transcript:YBR151W_mRNA	APD1	II	545027	545978	mRNA
transcript:YBR152W_mRNA	SPP381	II	546375	547251	mRNA
transcript:YBR153W_mRNA	RIB7	II	547459	548194	mRNA
transcript:YBR154C_mRNA	RPB5	II	548361	549009	mRNA
transcript:YBR155W_mRNA	CNS1	II	549770	550928	mRNA
transcript:YBR156C_mRNA	SLI15	II	551103	553200	mRNA
transcript:YBR157C_mRNA	ICS2	II	553542	554310	mRNA
transcript:YBR158W_mRNA	AMN1	II	556548	558198	mRNA
transcript:YBR159W_mRNA	IFA38	II	558684	559728	mRNA
transcript:YBR160W_mRNA	CDC28	II	560077	560974	mRNA
transcript:YBR161W_mRNA	CSH1	II	561633	562764	mRNA
transcript:YBR162C_mRNA	TOS1	II	563202	564570	mRNA
transcript:YBR162W-A_mRNA	YSY6	II	565230	565428	mRNA
transcript:YBR163W_mRNA	EXO5	II	565722	567480	mRNA
transcript:YBR164C_mRNA	ARL1	II	567874	568426	mRNA
transcript:YBR165W_mRNA	UBS1	II	568851	569685	mRNA
transcript:YBR166C_mRNA	TYR1	II	569841	571200	mRNA
transcript:YBR167C_mRNA	POP7	II	571467	571890	mRNA
transcript:YBR168W_mRNA	PEX32	II	572370	573612	mRNA
transcript:YBR169C_mRNA	SSE2	II	573914	575996	mRNA
transcript:YBR170C_mRNA	NPL4	II	576343	578086	mRNA
transcript:YBR171W_mRNA	SEC66	II	578363	578984	mRNA
transcript:YBR172C_mRNA	SMY2	II	579149	581372	mRNA
transcript:YBR173C_mRNA	UMP1	II	581725	582172	mRNA
transcript:YBR174C_mRNA		II	582337	582652	mRNA
transcript:YBR175W_mRNA	SWD3	II	582407	583355	mRNA
transcript:YBR176W_mRNA	ECM31	II	583719	584658	mRNA
transcript:YBR177C_mRNA	EHT1	II	584806	586162	mRNA
transcript:YBR178W_mRNA		II	586070	586445	mRNA
transcript:YBR179C_mRNA	FZO1	II	586546	589114	mRNA
